recipient,region,SIDS,income,total_commitment,commitment_per_capita,ECON_vulnerability,ENV_vulnerability,ECON_lack_resilience,ENV_lack_resilience,CRDF_PER_CAPITA_2015,CRDF_PER_CAPITA_2016,CRDF_PER_CAPITA_2017,CRDF_PER_CAPITA_2018,CRDF_PER_CAPITA_2019,CRDF_PER_CAPITA_2020,CRDF_PER_CAPITA_2021,CRDF_PER_CAPITA_2022,CRDF_PER_CAPITA_2023
Dominica,Latin America & the Caribbean,1,UMICs,414229483.8102365,6138.786561673007,66.89817831492101,74.46601021569006,64.24912982813218,33.57560272738162,20.8401521250354,0.38189562280044537,190.17794393089233,1233.6245843334789,390.0230458880485,366.7285021463651,3393.991985918239,484.4288650242693,58.58958668387766
Dominican Republic,Latin America & the Caribbean,1,UMICs,3860270557.6528735,348.2067021867988,28.70967131519098,29.230238158603605,42.74508537274899,55.37373633561101,16.781661968915028,5.120536894130235,16.73489675334572,48.94221279129341,21.574170352535173,3.014889135475275,26.642421365440363,123.08549571197356,86.31041721369
Ecuador,Latin America & the Caribbean,0,UMICs,8363790231.657847,482.09044649094045,43.92919673681502,28.558776971632117,50.10152158918546,45.18062326475735,49.505743853295975,20.393053524168213,44.13088792100393,59.99941812868497,50.059042508998274,61.87960391256176,20.13583849881673,94.27623963838188,81.71061850502873
Egypt,Africa,0,LMICs,18031367551.961136,166.697883890505,42.78871390689757,58.155270638970656,34.1328039978325,97.34256843242991,11.469445869392853,16.675082692920675,23.224082643418512,12.02973392340208,13.129410365115278,15.799444053097371,24.461583094861407,28.81490394860635,21.09419729969047
El Salvador,Latin America & the Caribbean,0,UMICs,1985518122.3586793,316.9571510276678,31.700160623635647,50.40679679004256,55.37785453825985,56.74858513652565,13.524514892061092,14.819262952869359,4.289482462472734,9.371002909935754,40.91526518470548,24.479683050469653,26.62195175432566,100.73665392795859,82.19933389286952
Equatorial Guinea,Africa,0,UMICs,82831151.89127178,49.31650350506552,59.80576256065102,42.55533269240019,54.30457191978545,43.90989703291585,0.026611807595571024,0.0,0.018146936098145855,3.7141932724814115,41.38126738062948,0.08539233548807279,0.3759707800955815,0.5672433632202474,3.147677629457005
Eritrea,Africa,0,LDCs,279050556.5788284,86.06088787738827,84.65687484985533,60.7757979687118,51.89118101106196,74.83587452082168,7.47259245548374,4.782264809742513,33.89277514381442,0.10989814102006452,8.206022569396392,9.050742948320254,6.726344319856553,0.6301489604696452,15.190098529284688
Eswatini,Africa,0,LMICs,245671707.4046561,208.72330182123542,51.36927726636645,53.2839922983512,75.29386119983023,54.64448395096862,23.689933673161242,35.72855768440382,0.16693326644077397,22.539409229607134,77.73022768635676,12.282591284236238,10.620487102738663,11.95656811600862,14.008593778282208
Ethiopia,Africa,0,LDCs,12939399442.093622,110.24658982897407,41.77628234250386,43.456888027780664,40.38788980725947,66.18863506025865,7.5378467522075665,7.999359671355668,12.138947660567421,13.060311602063855,15.89394968252681,12.628246940014408,9.453464186800312,16.32057059728518,15.21389273615285
Fiji,Oceania,1,UMICs,774024953.5925965,842.6823958747076,49.39818664755283,70.48496792625387,69.87766892403396,41.55536539650504,101.77532175218425,32.45602216529428,50.69668070233896,38.12279661021566,55.9314444601734,144.04539031545497,119.60164112555273,156.706390502656,143.34670824083733
Gabon,Africa,0,UMICs,279940126.14629924,123.76062484252373,54.29074030792175,33.90169427151001,53.023164860880385,31.561565757350483,12.638412488308079,9.389955894797813,11.210990760157758,1.7211615098839104,31.31828042783721,28.167263636150274,23.989521856749228,4.690789020168073,0.6342492484713754
Gambia,Africa,0,LDCs,798103634.5065312,327.33821643921345,73.8527687317395,54.3890157782067,47.74477640922757,62.98034084302312,81.32102143792976,16.637945172163104,40.19222837308459,39.59690408223133,9.791694790247123,31.421110770012124,20.574009628587046,47.783281462661016,40.02002072229738
Georgia,Asia,0,UMICs,4460926001.428177,1199.386555274989,38.75161589362264,31.31903778996135,38.174154261417335,55.027094510725654,44.55700220796105,80.03461381826268,67.27776666597262,89.30033739658653,251.17566313646796,224.14347733379446,130.38136118162828,168.92950449939616,143.58682903491922
Ghana,Africa,0,LMICs,3869113235.1604323,121.00142417291357,38.21856601202571,37.35002311947834,37.951685348411516,55.656820920485565,1.9757836057080191,11.061547291519698,10.735594867033615,6.232753106774322,14.581905628096719,11.348114009472354,16.511393176392993,32.23197630290128,16.32235618501457
Grenada,Latin America & the Caribbean,1,UMICs,226047336.6477834,1943.5849092293863,87.4064146603198,59.15081739547705,69.95089650122613,59.004998132057985,90.8740262819952,16.883075097768458,72.23034839962433,470.6416346101658,194.16782706444263,280.4553883053026,40.96464912321456,285.4176084968585,491.9503518500142
Guatemala,Latin America & the Caribbean,0,UMICs,1496367227.7938237,86.72517764159292,21.389535311651006,35.526988282023204,53.51471892499888,52.700210483889904,4.661896286062652,4.50686352429663,4.0554630134467065,5.1394864834854275,25.849519735143335,10.28341533703441,13.68229868065813,9.871768230187984,8.67446635127764
Guinea,Africa,0,LDCs,1641289814.7938664,121.94620601380093,66.9372355855949,36.76585022104718,40.71769479966029,30.14997238531682,3.5537691035983547,1.6335069854386228,10.625647824275125,13.826108916836178,13.34629815211406,18.001254708869087,17.63993850973358,23.01677215211816,20.302909660817765
Guinea-Bissau,Africa,1,LDCs,463048959.36909425,235.72094253641458,65.31133150504488,40.865898818824895,60.19388846515359,34.434388278501,64.29356775806676,7.968602568638823,13.16713721756672,37.88361012434717,9.461173097695983,9.362147551625036,2.7256682415223144,55.800372256989526,35.05866371996222
Guyana,Latin America & the Caribbean,1,UMICs,673827384.9736264,832.3524812726237,62.88013525852951,58.948409198484214,53.95587117206632,4.204347221327349,7.439616752897318,68.61007071871863,15.30902628523044,40.3349566182651,30.474619922911963,259.7898923379552,31.516892262615354,227.6091931613111,151.26821321271854
Haiti,Latin America & the Caribbean,1,LDCs,2167626952.437103,194.92315710883668,72.7263209018326,70.45151440008938,46.77663990035353,60.91769464942623,15.048478996017277,9.472615779768537,31.2988072335384,31.738929182085553,14.155174377988823,29.682153417166546,18.52986822631912,27.588371020481837,17.408758875470582
Honduras,Latin America & the Caribbean,0,LMICs,3592342283.8729224,352.43793271763826,39.641813210113135,34.094002944622574,49.135954331362086,45.67640509097632,28.84049613047773,8.682529242884886,10.070606772924503,22.21960110279817,24.51926096355,58.99339033298254,57.13830219701658,51.74493472544132,90.22881124956251
India,Asia,0,LMICs,72743364956.67052,52.09679238661142,21.828995975292433,48.604903943997776,21.198455215481307,69.91385544451805,2.194578236366934,4.286437109315831,5.045403976411164,7.580940696051597,4.380708020338012,6.285923971835194,5.621168491762467,6.509601453074195,10.192030431456018
